Sweep,Magnetization Density
0,-0.12
1,-0.18
2,0.06
3,0.06
4,0.12
5,-0.04
6,-0.14
7,0.24
8,-0.1
9,-0.06
10,-0.14
11,0.0
12,0.14
13,-0.38
14,-0.28
15,-0.2
16,0.26
17,0.32
18,0.14
19,0.2
20,0.12
21,0.04
22,-0.18
23,0.26
24,0.16
25,-0.04
26,-0.26
27,-0.04
28,-0.34
29,0.12
30,0.08
31,0.14
32,-0.04
33,-0.06
34,0.0
35,-0.4
36,-0.22
37,0.0
38,0.22
39,0.08
40,-0.04
41,-0.2
42,-0.06
43,0.06
44,0.06
45,0.22
46,-0.16
47,-0.18
48,-0.2
49,0.0
50,-0.26
51,-0.08
52,0.14
53,-0.06
54,-0.18
55,0.22
56,-0.38
57,0.04
58,-0.02
59,-0.4
60,-0.12
61,-0.22
62,-0.08
63,-0.16
64,-0.02
65,0.26
66,0.06
67,0.04
68,-0.08
69,0.04
70,0.06
71,-0.26
72,0.02
73,0.1
74,0.22
75,-0.26
76,0.14
77,-0.08
78,0.28
79,-0.1
80,-0.02
81,0.32
82,0.4
83,0.2
84,0.18
85,0.24
86,0.06
87,0.24
88,-0.3
89,0.12
90,-0.06
91,0.02
92,-0.06
93,-0.18
94,0.34
95,-0.32
96,-0.02
97,0.0
98,-0.58
99,0.0
100,0.04
101,0.08
102,0.12
103,-0.02
104,-0.04
105,-0.3
106,0.22
107,-0.02
108,0.52
109,-0.08
110,-0.24
111,-0.08
112,0.06
113,0.2
114,-0.02
115,-0.4
116,0.04
117,-0.14
118,0.16
119,-0.12
120,-0.26
121,-0.26
122,-0.04
123,-0.1
124,-0.1
125,-0.38
126,0.0
127,-0.16
128,-0.06
129,0.2
130,0.18
131,0.06
132,0.14
133,0.3
134,0.14
135,0.06
136,0.14
137,-0.1
138,0.0
139,0.0
140,-0.38
141,-0.12
142,-0.06
143,-0.16
144,-0.1
145,0.06
146,-0.06
147,-0.16
148,-0.08
149,0.04
150,0.08
151,0.04
152,0.16
153,0.2
154,-0.04
155,0.24
156,-0.4
157,0.04
158,0.14
159,-0.06
160,-0.1
161,0.3
162,-0.18
163,0.14
164,-0.12
165,-0.12
166,0.1
167,-0.08
168,-0.14
169,-0.38
170,-0.3
171,-0.18
172,-0.08
173,0.08
174,-0.22
175,-0.12
176,0.02
177,0.08
178,0.2
179,-0.4
180,-0.02
181,-0.16
182,-0.22
183,0.04
184,-0.14
185,0.2
186,-0.22
187,-0.08
188,0.22
189,0.18
190,-0.12
191,-0.24
192,-0.22
193,0.04
194,0.16
195,0.28
196,-0.04
197,-0.12
198,-0.12
199,-0.02
200,-0.06
201,0.12
202,-0.08
203,-0.04
204,-0.02
205,-0.04
206,0.0
207,0.1
208,0.0
209,-0.12
210,0.04
211,-0.04
212,-0.28
213,0.16
214,-0.16
215,0.08
216,0.24
217,0.14
218,-0.12
219,0.12
220,0.1
221,-0.16
222,-0.1
223,0.04
224,-0.12
225,0.0
226,-0.08
