Bin Size,Error
10,0.0038425386060519937
13,0.003909119996388571
17,0.003921573108277264
23,0.003890206292391448
30,0.0038307786686061565
40,0.003828473423702978
53,0.003700434651702971
70,0.003824556672250033
93,0.0037319570104177896
123,0.00379073357809532
162,0.003521605731788753
214,0.003640402029501184
283,0.00393398922163408
375,0.003533882697774125
496,0.003544722085168166
655,0.0035777322216147297
866,0.003585198432256042
1145,0.00339126535791426
1513,0.003091512789749264
2000,0.003349283998110641
