Bin Size,Error
10,0.003222365837202789
13,0.00320750866865121
17,0.0032654982702339927
23,0.0032545820771850975
30,0.003259205974221162
40,0.003239968609491047
53,0.0032166009932230507
70,0.003295034229830349
93,0.0032446376914039973
123,0.0033176740592879366
162,0.0032342232860317864
214,0.0032503448698764995
283,0.0031839221388094024
375,0.0032478691734420142
496,0.0033495899904772194
655,0.0033245328132705024
866,0.0035896304701486903
1145,0.003578692730498771
1513,0.0030795027218695056
2000,0.003194892126264192
