Bin Size,Error
10,0.0020760656660495486
13,0.002093448665167851
17,0.0020882827409366496
23,0.002055736155528252
30,0.00199320821229289
40,0.001991972388968553
53,0.002048702251661987
70,0.0020410848976194595
93,0.002034460153518406
123,0.00200442619616187
162,0.0021426357659138427
214,0.0020395013781787093
283,0.0019567631569797775
375,0.002055916406369619
496,0.0020403247494687866
655,0.001896715319721929
866,0.0016120236071298585
1145,0.001300050330899682
1513,0.0015516200873940216
2000,0.0016854784893427471
