Sweep,Magnetization Density
0,0.16
1,0.32
2,0.64
3,0.68
4,0.74
5,-0.88
6,0.82
7,-0.8
8,0.96
9,-0.92
10,0.88
11,-0.98
12,0.88
13,-0.9
14,-0.88
15,0.66
16,-0.86
17,0.86
18,-0.9
19,0.7
20,-0.82
21,0.82
22,0.8
23,-0.8
24,0.84
25,0.74
26,-0.92
27,0.92
28,-0.76
29,-0.7
30,-0.76
31,-0.54
32,0.66
33,0.64
34,-0.86
35,-0.74
36,0.92
37,-0.86
38,-0.66
39,-0.26
40,-0.38
41,0.76
42,-0.92
43,0.98
44,-0.92
45,0.9
46,-0.74
47,0.56
48,0.84
49,-0.94
50,0.94
51,-0.98
52,0.78
53,0.74
54,0.26
55,-0.36
56,-0.26
57,-0.38
58,0.6
59,-0.66
60,0.98
61,-0.78
62,0.82
63,-0.8
64,0.94
65,-0.84
66,0.9
67,-0.68
68,0.72
69,-0.78
70,0.62
71,0.5
72,0.6
73,-0.4
74,-0.42
75,0.38
76,-0.62
77,0.66
78,0.2
79,0.22
80,0.82
81,-0.72
82,0.78
83,-0.78
84,0.82
85,0.74
86,-0.86
87,0.88
88,-0.88
89,0.7
90,0.64
91,-0.66
92,-0.68
93,0.88
94,0.78
95,-0.84
96,0.8
97,0.88
98,-0.34
99,0.72
100,-0.88
101,0.82
102,0.86
103,-0.86
104,0.92
105,-0.86
106,0.56
107,-0.02
108,0.0
109,-0.1
110,0.8
111,-0.64
112,-0.48
113,0.62
114,-0.8
115,0.96
116,-0.96
117,0.9
118,-0.62
119,0.68
120,-0.94
121,0.9
122,-0.92
123,0.86
124,-0.94
125,0.66
126,-0.76
127,0.82
128,0.5
129,-0.9
130,0.36
131,0.32
132,-0.08
133,-0.52
134,-0.56
135,0.42
136,0.34
137,-0.4
138,0.36
139,0.4
140,0.46
141,0.22
142,-0.58
143,0.58
144,-0.66
145,0.9
146,0.5
147,-0.88
148,0.86
149,-0.62
150,0.94
151,-0.94
152,0.96
153,-0.66
154,-0.54
155,0.92
156,-0.92
157,0.98
158,-0.9
159,0.86
160,-0.82
161,-0.86
162,0.76
163,-0.9
164,0.88
165,-0.56
166,-0.54
167,0.88
168,-0.8
169,1.0
170,-0.98
171,0.94
172,-0.96
173,0.9
174,-0.98
175,0.62
176,-0.52
177,-0.58
178,-0.2
179,-0.04
180,-0.26
181,0.48
182,-0.86
183,0.9
184,-0.96
185,-0.94
186,0.92
187,-0.94
188,0.86
189,-0.84
190,0.6
191,0.4
192,0.44
193,-0.54
194,0.24
195,0.28
196,-0.84
197,0.94
198,-0.92
199,0.78
200,-0.96
201,-0.98
202,0.98
203,-0.98
204,0.8
205,-0.84
206,0.9
207,-0.8
208,-0.76
209,0.7
210,-0.84
211,0.82
212,-0.9
213,0.86
214,-0.84
215,0.86
216,-0.9
217,0.86
218,-0.98
219,-1.0
220,0.9
221,0.88
222,-0.82
223,0.78
224,-0.54
225,-0.56
226,-0.58
227,0.02
228,-0.06
229,-0.14
230,-0.08
231,-0.46
232,0.56
233,-0.7
234,0.6
235,-0.62
236,0.62
237,-0.7
238,0.72
239,-0.82
240,0.82
241,-0.88
242,-0.86
243,0.74
244,-0.84
245,0.88
246,-0.86
247,0.84
248,-0.86
249,0.3
250,0.72
251,-0.98
252,0.86
253,0.84
254,-0.8
255,0.66
256,-0.6
257,0.94
258,-0.8
259,0.92
260,-0.84
261,0.84
262,-0.9
263,0.92
264,0.94
265,-0.86
266,0.92
267,-0.94
268,0.88
269,-0.86
270,0.84
271,-0.74
272,0.8
273,0.78
274,-0.88
275,0.96
276,-0.94
277,0.84
278,-0.68
279,-0.9
280,0.92
281,-0.86
282,0.86
283,0.9
284,-0.84
285,0.82
286,-0.9
287,0.58
288,0.64
289,-0.94
290,-0.9
291,0.92
292,-0.76
293,-0.8
294,0.8
295,-0.76
296,0.86
297,0.04
298,-0.3
299,-0.28
300,-0.24
301,-0.22
302,-0.44
303,0.64
304,-0.72
305,-0.78
306,0.98
307,-0.96
308,0.88
309,-0.92
310,0.76
311,-0.9
312,0.94
313,-0.76
314,0.84
315,-0.94
316,0.92
317,0.8
318,0.82
319,-0.78
320,-0.8
321,0.86
322,-0.8
323,-0.82
324,0.94
325,-0.96
326,0.96
327,-0.88
328,0.88
329,-0.96
330,0.98
331,-0.72
332,0.78
333,-0.9
334,0.98
335,-0.82
336,0.92
337,-0.94
338,0.9
339,-0.84
340,-0.64
341,0.82
342,0.8
343,-0.78
344,-0.76
345,0.84
346,-0.36
347,-0.34
348,-0.88
349,0.98
350,-0.82
351,0.9
352,-0.72
353,0.34
354,-0.88
355,0.94
356,-0.46
357,0.76
358,-0.68
359,-0.7
360,0.68
361,-0.84
362,0.86
363,-0.7
364,0.9
365,-0.86
366,0.88
367,-0.62
368,-0.64
369,-0.9
370,0.84
371,-0.64
372,0.9
373,-0.88
374,0.76
375,-0.92
376,0.7
377,0.68
378,0.6
379,0.68
380,-0.86
381,0.94
382,-0.9
383,0.88
384,-0.78
385,0.92
386,-0.98
387,0.7
388,0.94
389,-0.84
390,0.6
391,-0.72
392,-0.76
393,0.8
394,0.84
395,-0.76
396,-0.78
397,-0.76
398,0.84
399,-0.84
400,0.64
401,0.62
402,-0.88
403,0.78
404,-0.72
405,-0.68
406,0.2
407,0.28
408,0.3
409,-0.7
410,0.48
411,0.52
412,-0.82
413,0.8
414,-0.84
415,0.96
416,-0.82
417,0.94
418,-0.8
419,-0.72
420,0.9
421,-0.42
422,-0.38
423,-0.9
424,0.72
425,-0.86
426,0.84
427,0.82
428,-0.9
429,0.98
430,-1.0
431,0.7
432,-0.68
433,0.5
434,-0.1
435,-0.96
436,-0.98
437,0.98
438,-0.86
439,0.92
440,-0.78
441,0.72
