Bin Size,Error
10,0.0017475846229221782
13,0.0018893659100571772
17,0.002014218616769818
23,0.0021415874898797955
30,0.0022696322616865944
40,0.002318253049162958
53,0.0024105617613685987
70,0.0024746706764863127
93,0.002424009224597458
123,0.002567683729796939
162,0.0026302638842652733
214,0.002586305450175306
283,0.0024823838550434045
375,0.0025327894624807908
496,0.0026155785237242566
655,0.002613289835005236
866,0.002600384318503343
1145,0.0025687535891140917
1513,0.002699901812790018
2000,0.0024547218134324525
