Bin Size,Error
10,0.0020597947605074194
13,0.002011261882041765
17,0.0019602672208750734
23,0.0019093599192386095
30,0.0019236095586876469
40,0.001868475725685401
53,0.0018314647213650175
70,0.0017048124509185711
93,0.0018039796851745395
123,0.0017671791137923768
162,0.0017844319308929696
214,0.0017869931495110057
283,0.0019067573129990041
375,0.0019101108598295875
496,0.001874369444708729
655,0.002111066760385644
866,0.0016737634629051688
1145,0.001957435953668422
1513,0.0018114898496726555
2000,0.0018970485772492383
